2020.01.01, NA
2020.02.01, 0.4087647058823529
2020.02.07, 0.49806666666666666
2020.02.08, 0.5041875
2020.02.09, 0.5134705882352941
2020.02.10, 0.48674999999999996
2020.02.11, 0.5132500000000001
2020.02.12, 0.49425
2020.02.13, 0.4975882352941176
2020.02.14, 0.5116666666666667
2020.02.15, 0.5085217391304347
2020.02.16, 0.5143529411764707
2020.02.17, NA
2020.02.18, 0.5178823529411763
2020.02.19, 0.3926874999999999
2020.02.20, 0.39081249999999995
2020.02.21, 0.38188235294117645
2020.02.22, 0.39635294117647063
2020.02.23, 0.39731249999999996
2020.02.24, 0.4072941176470588
2020.02.25, 0.3846470588235294
2020.02.26, 0.3797222222222223
2020.02.27, 0.37294444444444447
2020.02.28, 0.40788888888888886
2020.02.29, NA
2020.03.01, NA
2020.03.02, NA
2020.03.03, NA
2020.03.04, NA
2020.03.05, NA
2020.03.06, NA
2020.03.07, NA
2020.03.08, NA
2020.03.09, NA
2020.03.10, NA
2020.03.11, NA
2020.03.12, NA
2020.03.13, NA
2020.03.14, NA
2020.03.15, NA
2020.03.16, NA
2020.03.17, NA
2020.03.18, NA
2020.03.19, NA
2020.03.20, NA
2020.03.21, NA
2020.03.22, NA
2020.03.23, NA
2020.03.24, NA
2020.03.25, NA
2020.03.26, NA
2020.03.27, NA
2020.03.28, NA
2020.03.29, NA
2020.03.30, NA
2020.03.31, NA
2020.04.01, NA
2020.04.02, NA
2020.04.03, NA
2020.04.04, NA
2020.04.05, NA
2020.04.06, NA
2020.04.07, NA
2020.04.08, NA
2020.04.09, NA
2020.04.10, NA
2020.04.11, NA
2020.04.12, NA
2020.04.13, NA
2020.04.15, NA
2020.04.16, NA
2020.04.17, NA
2020.04.18, NA
2020.04.19, NA
2020.04.20, NA
2020.04.21, NA
2020.04.22, NA
2020.04.23, NA
2020.04.24, NA
2020.04.25, NA
2020.04.26, NA
2020.04.27, NA
2020.04.28, NA
2020.04.29, NA
2020.04.30, NA
2020.05.01, NA
2020.05.02, NA
2020.05.03, NA
2020.05.04, NA
2020.05.05, NA
2020.05.06, NA
2020.05.07, NA
2020.05.08, NA
2020.05.09, NA
2020.05.10, NA
2020.05.11, NA
2020.05.12, NA
2020.05.13, NA
2020.05.14, NA
2020.05.15, NA
2020.05.16, NA
2020.05.17, NA
2020.05.18, NA
